resource_id,resource_path,review_state,reviewer_name,reviewer_role,review_scope,reviewed_at,source_check_at,changes_required,release_approved
client-questionnaire,templates/interior-design-client-questionnaire/,pending,,,,,,,false
design-brief,templates/interior-design-brief/,pending,,,,,,,false
proposal,templates/interior-design-proposal/,pending,,,,,,,false
scope-of-work,templates/interior-design-scope-of-work/,pending,,,,,,,false
budget,templates/interior-design-budget/,pending,,,,,,,false
spec-sheet,templates/interior-design-spec-sheet/,pending,,,,,,,false
ffe-schedule,templates/ffe-schedule/,pending,,,,,,,false
finish-schedule,templates/finish-schedule/,pending,,,,,,,false
room-data,templates/room-data-sheet/,pending,,,,,,,false
timeline,templates/interior-design-project-timeline/,pending,,,,,,,false
site-survey,templates/interior-design-site-survey-checklist/,pending,,,,,,,false
presentation,templates/interior-design-presentation/,pending,,,,,,,false
mood-board,resources/interior-design-mood-board-examples/,pending,,,,,,,false
material-board,resources/interior-design-material-board/,pending,,,,,,,false
concept-board,resources/interior-design-concept-board/,pending,,,,,,,false
space-planning,resources/interior-design-space-planning/,pending,,,,,,,false
measure-room,resources/how-to-measure-a-room/,pending,,,,,,,false
design-process,resources/interior-design-process/,pending,,,,,,,false
procurement,resources/interior-design-procurement/,pending,,,,,,,false
elevation-guide,resources/interior-elevation-drawings/,pending,,,,,,,false
rcp-guide,resources/reflected-ceiling-plan/,pending,,,,,,,false
ffe-guide,resources/ffe-in-interior-design/,pending,,,,,,,false
project-management,resources/interior-design-project-management/,pending,,,,,,,false
drawing-checklist,resources/interior-design-drawing-checklist/,pending,,,,,,,false
concept-vs-documents,resources/ai-concept-images-vs-design-documentation/,pending,,,,,,,false
brief-to-schedules,resources/brief-to-coordinated-schedules/,pending,,,,,,,false
specification-change,resources/interior-design-specification-change/,pending,,,,,,,false
handoff-package,resources/interior-design-handoff-package/,pending,,,,,,,false
approval-states,resources/interior-design-approval-states/,pending,,,,,,,false
software-evaluation,resources/evaluating-ai-interior-design-software/,pending,,,,,,,false
